state,votingEligiblePop,over18Pop,Prisoners2021,AB
Alabama,3797619,3824040,26421,AL
Alaska,529948,534726,4778,AK
Arizona,5084685,5118550,33865,AZ
Arkansas,2215845,2233470,17625,AR
California,25980492,26078100,97608,CA
Colorado,4250122,4267290,17168,CO
Connecticut,2636214,2646720,10506,CT
Delaware,741157,746111,4954,DE
District of Columbia,,503684,,DC
Florida,15614122,15698800,84678,FL
Georgia,7638121,7686560,48439,GA
Hawaii,1046591,1050740,4149,HI
Idaho,1335830,1344940,9110,ID
Illinois,9114126,9143760,29634,IL
Indiana,4984334,5009620,25286,IN
Iowa,2360467,2368940,8473,IA
Kansas,2117411,2126120,8709,KS
Kentucky,3378476,3398220,19744,KY
Louisiana,3431504,3458800,27296,LA
Maine,1094185,1095860,1675,ME
Maryland,4395603,4411240,15637,MD
Massachusetts,5111159,5117160,6001,MA
Michigan,7600916,7633290,32374,MI
Minnesota,4198254,4206890,8636,MN
Mississippi,2213098,2232900,19802,MS
Missouri,4642769,4666680,23911,MO
Montana,845209,849900,4691,MT
Nebraska,1399751,1405400,5649,NE
Nevada,2139976,2150280,10304,NV
New Hampshire,1091374,1093460,2086,NH
New Jersey,6408303,6420960,12657,NJ
New Mexico,1533130,1538100,4970,NM
New York,14156052,14187200,31148,NY
North Carolina,7704693,7734320,29627,NC
North Dakota,574000,575817,1817,ND
Ohio,8902877,8948190,45313,OH
Oklahoma,2861289,2884230,22941,OK
Oregon,3164862,3177380,12518,OR
Pennsylvania,9911760,9949670,37910,PA
Rhode Island,822123,824516,2393,RI
South Carolina,3889272,3905590,16318,SC
South Dakota,653073,656517,3444,SD
Tennessee,5182935,5206670,23735,TN
Texas,19021769,19161400,139631,TX
Utah,2198511,2204520,6009,UT
Vermont,515416,516776,1360,VT
Virginia,6295088,6322250,27162,VI
Washington,5474918,5488690,13772,WA
West Virginia,1415447,1421320,5873,WV
Wisconsin,4452207,4473080,20873,WI
Wyoming,432273,434427,2154,WY
